Z,Y,X,Red,Green,Blue,Size
0,61,327,172,172,171,1
0,61,328,161,142,137,1
0,61,329,145,135,119,1
0,61,330,102,76,68,1
0,61,331,66,63,54,1
0,62,56,41,62,85,1
0,62,57,99,101,107,1
0,62,58,111,114,127,1
0,62,59,122,124,129,1
0,62,60,138,151,161,1
0,62,61,158,143,143,1
0,62,62,151,161,163,1
0,62,63,144,142,128,1
0,62,64,121,125,122,1
0,62,65,136,130,94,1
0,62,66,77,81,95,1
0,62,67,105,126,132,1
0,62,68,132,148,152,1
0,62,69,169,183,174,1
0,62,70,180,195,173,1
0,62,71,165,169,159,1
0,62,72,147,141,142,1
0,62,73,140,128,123,1
0,62,74,92,70,74,1
0,62,75,74,65,51,1
0,62,184,44,60,89,1
0,62,185,103,108,106,1
0,62,186,117,135,135,1
0,62,187,126,135,142,1
0,62,188,139,144,152,1
0,62,189,155,149,155,1
0,62,190,150,153,156,1
0,62,191,142,129,120,1
0,62,192,128,134,137,1
0,62,193,131,116,100,1
0,62,194,82,79,88,1
0,62,195,106,126,129,1
0,62,196,147,158,153,1
0,62,197,179,181,162,1
0,62,198,178,201,185,1
0,62,199,158,150,141,1
0,62,200,140,135,134,1
0,62,201,128,113,103,1
0,62,202,80,69,73,1
0,62,203,67,56,43,1
0,62,312,47,68,100,1
0,62,313,117,130,127,1
0,62,314,133,140,127,1
0,62,315,124,127,140,1
0,62,316,153,152,157,1
0,62,317,160,158,152,1
0,62,318,149,160,160,1
0,62,319,151,137,134,1
0,62,320,142,139,140,1
0,62,321,122,100,101,1
0,62,322,94,81,77,1
0,62,323,86,107,118,1
0,62,324,144,149,155,1
0,62,325,186,176,161,1
0,62,326,167,173,175,1
0,62,327,158,145,149,1
0,62,328,156,144,129,1
0,62,329,118,106,96,1
0,62,330,81,65,61,1
0,62,331,60,48,38,1
0,63,56,50,76,102,1
0,63,57,134,151,137,1
0,63,58,142,146,130,1
0,63,59,129,115,124,1
0,63,60,147,145,159,1
0,63,61,167,165,148,1
0,63,62,154,170,164,1
0,63,63,155,136,134,1
0,63,64,136,127,124,1
0,63,65,118,106,105,1
0,63,66,96,79,72,1
0,63,67,72,91,95,1
0,63,68,114,135,149,1
0,63,69,166,165,164,1
